city,year,month,aqi_us
Faisalabad,2022,5,124
Faisalabad,2022,6,118
Faisalabad,2022,7,133
Faisalabad,2022,8,153
Faisalabad,2022,9,161
Faisalabad,2022,10,188
Faisalabad,2022,11,226
Faisalabad,2022,12,245
Faisalabad,2023,1,266
Faisalabad,2023,2,240
Faisalabad,2023,3,180
Faisalabad,2023,4,154
Faisalabad,2023,5,130
Faisalabad,2023,6,125
Faisalabad,2023,7,136
Faisalabad,2023,8,156
Faisalabad,2023,9,164
Faisalabad,2023,10,191
Faisalabad,2023,11,229
Faisalabad,2023,12,248
Faisalabad,2024,1,268
Faisalabad,2024,2,246
Faisalabad,2024,3,182
Faisalabad,2024,4,154
Faisalabad,2024,5,133
Faisalabad,2024,6,129
Faisalabad,2024,7,142
Faisalabad,2024,8,155
Faisalabad,2024,9,165
Faisalabad,2024,10,193
Faisalabad,2024,11,229
Faisalabad,2024,12,258
Faisalabad,2025,1,275
Faisalabad,2025,2,257
Faisalabad,2025,3,187
Faisalabad,2025,4,157
Faisalabad,2025,5,138
Faisalabad,2025,6,129
Faisalabad,2025,7,152
Faisalabad,2025,8,158
Faisalabad,2025,9,167
Faisalabad,2025,10,196
Faisalabad,2025,11,245
Faisalabad,2025,12,267
Gujranwala,2015,1,271
Gujranwala,2015,2,242
Gujranwala,2015,3,182
Gujranwala,2015,4,155
Gujranwala,2015,5,135
Gujranwala,2015,6,125
Gujranwala,2015,7,141
Gujranwala,2015,8,157
Gujranwala,2015,9,164
Gujranwala,2015,10,190
Gujranwala,2015,11,238
Gujranwala,2015,12,255
Gujranwala,2016,1,253
Gujranwala,2016,2,239
Gujranwala,2016,3,180
Gujranwala,2016,4,153
Gujranwala,2016,5,124
Gujranwala,2016,6,121
Gujranwala,2016,7,137
Gujranwala,2016,8,154
Gujranwala,2016,9,164
Gujranwala,2016,10,188
Gujranwala,2016,11,223
Gujranwala,2016,12,244
Gujranwala,2017,1,253
Gujranwala,2017,2,234
Gujranwala,2017,3,178
Gujranwala,2017,4,153
Gujranwala,2017,5,122
Gujranwala,2017,6,120
Gujranwala,2017,7,134
Gujranwala,2017,8,154
Gujranwala,2017,9,162
Gujranwala,2017,10,188
Gujranwala,2017,11,225
Gujranwala,2017,12,244
Gujranwala,2018,1,265
Gujranwala,2018,2,246
Gujranwala,2018,3,181
Gujranwala,2018,4,154
Gujranwala,2018,5,130
Gujranwala,2018,6,125
Gujranwala,2018,7,138
Gujranwala,2018,8,156
Gujranwala,2018,9,164
Gujranwala,2018,10,189
Gujranwala,2018,11,233
Gujranwala,2018,12,250
Gujranwala,2019,1,247
Gujranwala,2019,2,224
Gujranwala,2019,3,176
Gujranwala,2019,4,147
Gujranwala,2019,5,119
Gujranwala,2019,6,110
Gujranwala,2019,7,126
Gujranwala,2019,8,153
Gujranwala,2019,9,161
Gujranwala,2019,10,185
Gujranwala,2019,11,214
Gujranwala,2019,12,234
Gujranwala,2020,1,234
Gujranwala,2020,2,214
Gujranwala,2020,3,174
Gujranwala,2020,4,145
Gujranwala,2020,5,114
Gujranwala,2020,6,108
Gujranwala,2020,7,123
Gujranwala,2020,8,146
Gujranwala,2020,9,158
Gujranwala,2020,10,181
Gujranwala,2020,11,206
Gujranwala,2020,12,224
Gujranwala,2021,1,260
Gujranwala,2021,2,236
Gujranwala,2021,3,178
Gujranwala,2021,4,153
Gujranwala,2021,5,128
Gujranwala,2021,6,120
Gujranwala,2021,7,135
Gujranwala,2021,8,154
Gujranwala,2021,9,163
Gujranwala,2021,10,189
Gujranwala,2021,11,227
Gujranwala,2021,12,246
Gujranwala,2022,1,249
Gujranwala,2022,2,226
Gujranwala,2022,3,178
Gujranwala,2022,4,152
Gujranwala,2022,5,124
Gujranwala,2022,6,113
Gujranwala,2022,7,133
Gujranwala,2022,8,153
Gujranwala,2022,9,160
Gujranwala,2022,10,185
Gujranwala,2022,11,218
Gujranwala,2022,12,237
Gujranwala,2023,1,260
Gujranwala,2023,2,236
Gujranwala,2023,3,180
Gujranwala,2023,4,154
Gujranwala,2023,5,130
Gujranwala,2023,6,121
Gujranwala,2023,7,137
Gujranwala,2023,8,155
Gujranwala,2023,9,163
Gujranwala,2023,10,188
Gujranwala,2023,11,228
Gujranwala,2023,12,243
Gujranwala,2024,1,264
Gujranwala,2024,2,244
Gujranwala,2024,3,181
Gujranwala,2024,4,155
Gujranwala,2024,5,128
Gujranwala,2024,6,120
Gujranwala,2024,7,140
Gujranwala,2024,8,156
Gujranwala,2024,9,165
Gujranwala,2024,10,191
Gujranwala,2024,11,236
Gujranwala,2024,12,252
Gujranwala,2025,1,271
Gujranwala,2025,2,253
Gujranwala,2025,3,184
Gujranwala,2025,4,154
Gujranwala,2025,5,138
Gujranwala,2025,6,130
Gujranwala,2025,7,144
Gujranwala,2025,8,157
Gujranwala,2025,9,166
Gujranwala,2025,10,194
Gujranwala,2025,11,239
Gujranwala,2025,12,258
Hyderabad,2015,1,168
Hyderabad,2015,2,162
Hyderabad,2015,3,127
Hyderabad,2015,4,80
Hyderabad,2015,5,68
Hyderabad,2015,6,67
Hyderabad,2015,7,72
Hyderabad,2015,8,85
Hyderabad,2015,9,102
Hyderabad,2015,10,146
Hyderabad,2015,11,162
Hyderabad,2015,12,166
Hyderabad,2016,1,166
Hyderabad,2016,2,161
Hyderabad,2016,3,122
Hyderabad,2016,4,79
Hyderabad,2016,5,67
Hyderabad,2016,6,65
Hyderabad,2016,7,71
Hyderabad,2016,8,81
Hyderabad,2016,9,97
Hyderabad,2016,10,143
Hyderabad,2016,11,159
Hyderabad,2016,12,163
Hyderabad,2017,1,168
Hyderabad,2017,2,163
Hyderabad,2017,3,128
Hyderabad,2017,4,82
Hyderabad,2017,5,68
Hyderabad,2017,6,67
Hyderabad,2017,7,73
Hyderabad,2017,8,87
Hyderabad,2017,9,102
Hyderabad,2017,10,147
Hyderabad,2017,11,162
Hyderabad,2017,12,166
Hyderabad,2018,1,170
Hyderabad,2018,2,164
Hyderabad,2018,3,133
Hyderabad,2018,4,83
Hyderabad,2018,5,71
Hyderabad,2018,6,70
Hyderabad,2018,7,75
Hyderabad,2018,8,86
Hyderabad,2018,9,107
Hyderabad,2018,10,152
Hyderabad,2018,11,163
Hyderabad,2018,12,168
Hyderabad,2019,1,168
Hyderabad,2019,2,161
Hyderabad,2019,3,125
Hyderabad,2019,4,81
Hyderabad,2019,5,67
Hyderabad,2019,6,65
Hyderabad,2019,7,71
Hyderabad,2019,8,82
Hyderabad,2019,9,99
Hyderabad,2019,10,139
Hyderabad,2019,11,161
Hyderabad,2019,12,163
Hyderabad,2020,1,164
Hyderabad,2020,2,158
Hyderabad,2020,3,117
Hyderabad,2020,4,76
Hyderabad,2020,5,63
Hyderabad,2020,6,63
Hyderabad,2020,7,69
Hyderabad,2020,8,78
Hyderabad,2020,9,96
Hyderabad,2020,10,133
Hyderabad,2020,11,158
Hyderabad,2020,12,161
Hyderabad,2021,1,170
Hyderabad,2021,2,164
Hyderabad,2021,3,133
Hyderabad,2021,4,82
Hyderabad,2021,5,70
Hyderabad,2021,6,67
Hyderabad,2021,7,75
Hyderabad,2021,8,86
Hyderabad,2021,9,105
Hyderabad,2021,10,152
Hyderabad,2021,11,164
Hyderabad,2021,12,167
Hyderabad,2022,1,168
Hyderabad,2022,2,163
Hyderabad,2022,3,131
Hyderabad,2022,4,81
Hyderabad,2022,5,70
Hyderabad,2022,6,67
Hyderabad,2022,7,74
Hyderabad,2022,8,85
Hyderabad,2022,9,104
Hyderabad,2022,10,147
Hyderabad,2022,11,163
Hyderabad,2022,12,166
Hyderabad,2023,1,171
Hyderabad,2023,2,165
Hyderabad,2023,3,134
Hyderabad,2023,4,86
Hyderabad,2023,5,71
Hyderabad,2023,6,69
Hyderabad,2023,7,78
Hyderabad,2023,8,92
Hyderabad,2023,9,111
Hyderabad,2023,10,153
Hyderabad,2023,11,165
Hyderabad,2023,12,169
Hyderabad,2024,1,174
Hyderabad,2024,2,167
Hyderabad,2024,3,142
Hyderabad,2024,4,88
Hyderabad,2024,5,73
Hyderabad,2024,6,72
Hyderabad,2024,7,79
Hyderabad,2024,8,91
Hyderabad,2024,9,115
Hyderabad,2024,10,153
Hyderabad,2024,11,167
Hyderabad,2024,12,170
Hyderabad,2025,1,177
Hyderabad,2025,2,170
Hyderabad,2025,3,148
Hyderabad,2025,4,92
Hyderabad,2025,5,77
Hyderabad,2025,6,75
Hyderabad,2025,7,82
Hyderabad,2025,8,94
Hyderabad,2025,9,117
Hyderabad,2025,10,155
Hyderabad,2025,11,168
Hyderabad,2025,12,173
Islamabad,2015,1,165
Islamabad,2015,2,159
Islamabad,2015,3,126
Islamabad,2015,4,74
Islamabad,2015,5,64
Islamabad,2015,6,62
Islamabad,2015,7,69
Islamabad,2015,8,78
Islamabad,2015,9,95
Islamabad,2015,10,139
Islamabad,2015,11,159
Islamabad,2015,12,163
Islamabad,2016,1,163
Islamabad,2016,2,157
Islamabad,2016,3,116
Islamabad,2016,4,72
Islamabad,2016,5,62
Islamabad,2016,6,59
Islamabad,2016,7,66
Islamabad,2016,8,75
Islamabad,2016,9,91
Islamabad,2016,10,127
Islamabad,2016,11,157
Islamabad,2016,12,161
Islamabad,2017,1,160
Islamabad,2017,2,155
Islamabad,2017,3,109
Islamabad,2017,4,68
Islamabad,2017,5,59
Islamabad,2017,6,57
Islamabad,2017,7,63
Islamabad,2017,8,72
Islamabad,2017,9,86
Islamabad,2017,10,123
Islamabad,2017,11,155
Islamabad,2017,12,158
Islamabad,2018,1,159
Islamabad,2018,2,154
Islamabad,2018,3,109
Islamabad,2018,4,68
Islamabad,2018,5,59
Islamabad,2018,6,56
Islamabad,2018,7,63
Islamabad,2018,8,71
Islamabad,2018,9,85
Islamabad,2018,10,120
Islamabad,2018,11,154
Islamabad,2018,12,158
Islamabad,2019,1,156
Islamabad,2019,2,152
Islamabad,2019,3,101
Islamabad,2019,4,64
Islamabad,2019,5,56
Islamabad,2019,6,54
Islamabad,2019,7,59
Islamabad,2019,8,68
Islamabad,2019,9,79
Islamabad,2019,10,112
Islamabad,2019,11,151
Islamabad,2019,12,155
Islamabad,2020,1,151
Islamabad,2020,2,133
Islamabad,2020,3,90
Islamabad,2020,4,60
Islamabad,2020,5,52
Islamabad,2020,6,49
Islamabad,2020,7,55
Islamabad,2020,8,62
Islamabad,2020,9,72
Islamabad,2020,10,97
Islamabad,2020,11,136
Islamabad,2020,12,145
Islamabad,2021,1,159
Islamabad,2021,2,154
Islamabad,2021,3,108
Islamabad,2021,4,68
Islamabad,2021,5,58
Islamabad,2021,6,56
Islamabad,2021,7,62
Islamabad,2021,8,71
Islamabad,2021,9,84
Islamabad,2021,10,121
Islamabad,2021,11,154
Islamabad,2021,12,156
Islamabad,2022,1,158
Islamabad,2022,2,154
Islamabad,2022,3,106
Islamabad,2022,4,68
Islamabad,2022,5,58
Islamabad,2022,6,56
Islamabad,2022,7,61
Islamabad,2022,8,70
Islamabad,2022,9,83
Islamabad,2022,10,118
Islamabad,2022,11,154
Islamabad,2022,12,156
Islamabad,2023,1,161
Islamabad,2023,2,157
Islamabad,2023,3,111
Islamabad,2023,4,70
Islamabad,2023,5,60
Islamabad,2023,6,57
Islamabad,2023,7,64
Islamabad,2023,8,74
Islamabad,2023,9,87
Islamabad,2023,10,124
Islamabad,2023,11,156
Islamabad,2023,12,159
Islamabad,2024,1,163
Islamabad,2024,2,157
Islamabad,2024,3,118
Islamabad,2024,4,71
Islamabad,2024,5,61
Islamabad,2024,6,59
Islamabad,2024,7,66
Islamabad,2024,8,74
Islamabad,2024,9,87
Islamabad,2024,10,127
Islamabad,2024,11,155
Islamabad,2024,12,159
Islamabad,2025,1,164
Islamabad,2025,2,159
Islamabad,2025,3,121
Islamabad,2025,4,75
Islamabad,2025,5,63
Islamabad,2025,6,60
Islamabad,2025,7,66
Islamabad,2025,8,78
Islamabad,2025,9,91
Islamabad,2025,10,138
Islamabad,2025,11,159
Islamabad,2025,12,162
Karachi,2015,1,160
Karachi,2015,2,155
Karachi,2015,3,96
Karachi,2015,4,59
Karachi,2015,5,54
Karachi,2015,6,58
Karachi,2015,7,70
Karachi,2015,8,77
Karachi,2015,9,89
Karachi,2015,10,112
Karachi,2015,11,152
Karachi,2015,12,156
Karachi,2016,1,163
Karachi,2016,2,156
Karachi,2016,3,98
Karachi,2016,4,59
Karachi,2016,5,56
Karachi,2016,6,60
Karachi,2016,7,71
Karachi,2016,8,80
Karachi,2016,9,91
Karachi,2016,10,114
Karachi,2016,11,154
Karachi,2016,12,157
Karachi,2017,1,166
Karachi,2017,2,158
Karachi,2017,3,104
Karachi,2017,4,62
Karachi,2017,5,57
Karachi,2017,6,62
Karachi,2017,7,75
Karachi,2017,8,83
Karachi,2017,9,97
Karachi,2017,10,121
Karachi,2017,11,156
Karachi,2017,12,161
Karachi,2018,1,166
Karachi,2018,2,159
Karachi,2018,3,108
Karachi,2018,4,63
Karachi,2018,5,59
Karachi,2018,6,63
Karachi,2018,7,76
Karachi,2018,8,86
Karachi,2018,9,99
Karachi,2018,10,127
Karachi,2018,11,157
Karachi,2018,12,163
Karachi,2019,1,164
Karachi,2019,2,156
Karachi,2019,3,100
Karachi,2019,4,61
Karachi,2019,5,56
Karachi,2019,6,61
Karachi,2019,7,72
Karachi,2019,8,81
Karachi,2019,9,92
Karachi,2019,10,113
Karachi,2019,11,154
Karachi,2019,12,159
Karachi,2020,1,160
Karachi,2020,2,153
Karachi,2020,3,95
Karachi,2020,4,58
Karachi,2020,5,54
Karachi,2020,6,58
Karachi,2020,7,68
Karachi,2020,8,76
Karachi,2020,9,88
Karachi,2020,10,109
Karachi,2020,11,152
Karachi,2020,12,156
Karachi,2021,1,166
Karachi,2021,2,159
Karachi,2021,3,111
Karachi,2021,4,64
Karachi,2021,5,60
Karachi,2021,6,66
Karachi,2021,7,76
Karachi,2021,8,88
Karachi,2021,9,101
Karachi,2021,10,127
Karachi,2021,11,157
Karachi,2021,12,162
Karachi,2022,1,169
Karachi,2022,2,161
Karachi,2022,3,115
Karachi,2022,4,66
Karachi,2022,5,62
Karachi,2022,6,65
Karachi,2022,7,79
Karachi,2022,8,88
Karachi,2022,9,104
Karachi,2022,10,133
Karachi,2022,11,159
Karachi,2022,12,163
Karachi,2023,1,166
Karachi,2023,2,160
Karachi,2023,3,108
Karachi,2023,4,63
Karachi,2023,5,59
Karachi,2023,6,63
Karachi,2023,7,77
Karachi,2023,8,86
Karachi,2023,9,96
Karachi,2023,10,124
Karachi,2023,11,157
Karachi,2023,12,162
Karachi,2024,1,168
Karachi,2024,2,161
Karachi,2024,3,114
Karachi,2024,4,65
Karachi,2024,5,60
Karachi,2024,6,65
Karachi,2024,7,77
Karachi,2024,8,87
Karachi,2024,9,105
Karachi,2024,10,129
Karachi,2024,11,158
Karachi,2024,12,163
Karachi,2025,1,173
Karachi,2025,2,164
Karachi,2025,3,118
Karachi,2025,4,67
Karachi,2025,5,64
Karachi,2025,6,67
Karachi,2025,7,81
Karachi,2025,8,93
Karachi,2025,9,108
Karachi,2025,10,137
Karachi,2025,11,159
Karachi,2025,12,165
Lahore,2015,1,245
Lahore,2015,2,226
Lahore,2015,3,176
Lahore,2015,4,152
Lahore,2015,5,120
Lahore,2015,6,113
Lahore,2015,7,132
Lahore,2015,8,153
Lahore,2015,9,160
Lahore,2015,10,186
Lahore,2015,11,216
Lahore,2015,12,229
Lahore,2016,1,226
Lahore,2016,2,205
Lahore,2016,3,169
Lahore,2016,4,137
Lahore,2016,5,108
Lahore,2016,6,104
Lahore,2016,7,117
Lahore,2016,8,141
Lahore,2016,9,158
Lahore,2016,10,179
Lahore,2016,11,201
Lahore,2016,12,210
Lahore,2017,1,293
Lahore,2017,2,273
Lahore,2017,3,189
Lahore,2017,4,159
Lahore,2017,5,147
Lahore,2017,6,140
Lahore,2017,7,153
Lahore,2017,8,162
Lahore,2017,9,171
Lahore,2017,10,202
Lahore,2017,11,264
Lahore,2017,12,274
Lahore,2018,1,263
Lahore,2018,2,237
Lahore,2018,3,180
Lahore,2018,4,154
Lahore,2018,5,131
Lahore,2018,6,123
Lahore,2018,7,140
Lahore,2018,8,155
Lahore,2018,9,163
Lahore,2018,10,190
Lahore,2018,11,231
Lahore,2018,12,250
Lahore,2019,1,216
Lahore,2019,2,198
Lahore,2019,3,168
Lahore,2019,4,130
Lahore,2019,5,103
Lahore,2019,6,99
Lahore,2019,7,113
Lahore,2019,8,138
Lahore,2019,9,154
Lahore,2019,10,176
Lahore,2019,11,196
Lahore,2019,12,206
Lahore,2020,1,208
Lahore,2020,2,196
Lahore,2020,3,165
Lahore,2020,4,124
Lahore,2020,5,102
Lahore,2020,6,97
Lahore,2020,7,108
Lahore,2020,8,134
Lahore,2020,9,154
Lahore,2020,10,173
Lahore,2020,11,193
Lahore,2020,12,201
Lahore,2021,1,230
Lahore,2021,2,217
Lahore,2021,3,170
Lahore,2021,4,143
Lahore,2021,5,113
Lahore,2021,6,106
Lahore,2021,7,121
Lahore,2021,8,143
Lahore,2021,9,158
Lahore,2021,10,181
Lahore,2021,11,208
Lahore,2021,12,216
Lahore,2022,1,216
Lahore,2022,2,202
Lahore,2022,3,169
Lahore,2022,4,134
Lahore,2022,5,105
Lahore,2022,6,101
Lahore,2022,7,114
Lahore,2022,8,141
Lahore,2022,9,155
Lahore,2022,10,177
Lahore,2022,11,197
Lahore,2022,12,203
Lahore,2023,1,231
Lahore,2023,2,214
Lahore,2023,3,172
Lahore,2023,4,141
Lahore,2023,5,110
Lahore,2023,6,106
Lahore,2023,7,120
Lahore,2023,8,146
Lahore,2023,9,158
Lahore,2023,10,181
Lahore,2023,11,209
Lahore,2023,12,218
Lahore,2024,1,234
Lahore,2024,2,216
Lahore,2024,3,171
Lahore,2024,4,143
Lahore,2024,5,114
Lahore,2024,6,111
Lahore,2024,7,122
Lahore,2024,8,151
Lahore,2024,9,158
Lahore,2024,10,181
Lahore,2024,11,210
Lahore,2024,12,222
Lahore,2025,1,250
Lahore,2025,2,227
Lahore,2025,3,178
Lahore,2025,4,151
Lahore,2025,5,123
Lahore,2025,6,119
Lahore,2025,7,130
Lahore,2025,8,153
Lahore,2025,9,161
Lahore,2025,10,186
Lahore,2025,11,217
Lahore,2025,12,235
Multan,2015,1,254
Multan,2015,2,229
Multan,2015,3,176
Multan,2015,4,152
Multan,2015,5,124
Multan,2015,6,118
Multan,2015,7,136
Multan,2015,8,154
Multan,2015,9,163
Multan,2015,10,188
Multan,2015,11,225
Multan,2015,12,242
Multan,2016,1,243
Multan,2016,2,223
Multan,2016,3,174
Multan,2016,4,148
Multan,2016,5,121
Multan,2016,6,111
Multan,2016,7,130
Multan,2016,8,153
Multan,2016,9,162
Multan,2016,10,185
Multan,2016,11,219
Multan,2016,12,231
Multan,2017,1,250
Multan,2017,2,231
Multan,2017,3,176
Multan,2017,4,152
Multan,2017,5,121
Multan,2017,6,117
Multan,2017,7,138
Multan,2017,8,154
Multan,2017,9,162
Multan,2017,10,188
Multan,2017,11,225
Multan,2017,12,239
Multan,2018,1,256
Multan,2018,2,235
Multan,2018,3,177
Multan,2018,4,152
Multan,2018,5,125
Multan,2018,6,118
Multan,2018,7,139
Multan,2018,8,155
Multan,2018,9,165
Multan,2018,10,188
Multan,2018,11,231
Multan,2018,12,247
Multan,2019,1,226
Multan,2019,2,210
Multan,2019,3,169
Multan,2019,4,137
Multan,2019,5,110
Multan,2019,6,104
Multan,2019,7,120
Multan,2019,8,151
Multan,2019,9,157
Multan,2019,10,179
Multan,2019,11,200
Multan,2019,12,217
Multan,2020,1,214
Multan,2020,2,200
Multan,2020,3,167
Multan,2020,4,128
Multan,2020,5,102
Multan,2020,6,98
Multan,2020,7,112
Multan,2020,8,139
Multan,2020,9,155
Multan,2020,10,175
Multan,2020,11,197
Multan,2020,12,212
Multan,2021,1,235
Multan,2021,2,217
Multan,2021,3,173
Multan,2021,4,144
Multan,2021,5,117
Multan,2021,6,112
Multan,2021,7,126
Multan,2021,8,152
Multan,2021,9,159
Multan,2021,10,182
Multan,2021,11,211
Multan,2021,12,233
Multan,2022,1,229
Multan,2022,2,213
Multan,2022,3,171
Multan,2022,4,142
Multan,2022,5,116
Multan,2022,6,105
Multan,2022,7,122
Multan,2022,8,151
Multan,2022,9,159
Multan,2022,10,182
Multan,2022,11,207
Multan,2022,12,221
Multan,2023,1,245
Multan,2023,2,226
Multan,2023,3,175
Multan,2023,4,149
Multan,2023,5,120
Multan,2023,6,114
Multan,2023,7,133
Multan,2023,8,153
Multan,2023,9,161
Multan,2023,10,185
Multan,2023,11,219
Multan,2023,12,232
Multan,2024,1,249
Multan,2024,2,227
Multan,2024,3,175
Multan,2024,4,152
Multan,2024,5,122
Multan,2024,6,115
Multan,2024,7,131
Multan,2024,8,154
Multan,2024,9,162
Multan,2024,10,189
Multan,2024,11,220
Multan,2024,12,239
Multan,2025,1,258
Multan,2025,2,240
Multan,2025,3,178
Multan,2025,4,153
Multan,2025,5,128
Multan,2025,6,119
Multan,2025,7,138
Multan,2025,8,155
Multan,2025,9,164
Multan,2025,10,188
Multan,2025,11,228
Multan,2025,12,245
Peshawar,2015,1,187
Peshawar,2015,2,180
Peshawar,2015,3,157
Peshawar,2015,4,98
Peshawar,2015,5,81
Peshawar,2015,6,79
Peshawar,2015,7,89
Peshawar,2015,8,109
Peshawar,2015,9,131
Peshawar,2015,10,162
Peshawar,2015,11,180
Peshawar,2015,12,183
Peshawar,2016,1,185
Peshawar,2016,2,178
Peshawar,2016,3,154
Peshawar,2016,4,95
Peshawar,2016,5,78
Peshawar,2016,6,78
Peshawar,2016,7,88
Peshawar,2016,8,105
Peshawar,2016,9,131
Peshawar,2016,10,159
Peshawar,2016,11,176
Peshawar,2016,12,182
Peshawar,2017,1,186
Peshawar,2017,2,181
Peshawar,2017,3,156
Peshawar,2017,4,98
Peshawar,2017,5,82
Peshawar,2017,6,79
Peshawar,2017,7,89
Peshawar,2017,8,108
Peshawar,2017,9,133
Peshawar,2017,10,162
Peshawar,2017,11,179
Peshawar,2017,12,184
Peshawar,2018,1,186
Peshawar,2018,2,178
Peshawar,2018,3,156
Peshawar,2018,4,97
Peshawar,2018,5,80
Peshawar,2018,6,78
Peshawar,2018,7,87
Peshawar,2018,8,103
Peshawar,2018,9,129
Peshawar,2018,10,161
Peshawar,2018,11,176
Peshawar,2018,12,184
Peshawar,2019,1,182
Peshawar,2019,2,178
Peshawar,2019,3,155
Peshawar,2019,4,94
Peshawar,2019,5,78
Peshawar,2019,6,76
Peshawar,2019,7,86
Peshawar,2019,8,103
Peshawar,2019,9,128
Peshawar,2019,10,159
Peshawar,2019,11,175
Peshawar,2019,12,181
Peshawar,2020,1,180
Peshawar,2020,2,172
Peshawar,2020,3,152
Peshawar,2020,4,90
Peshawar,2020,5,74
Peshawar,2020,6,72
Peshawar,2020,7,81
Peshawar,2020,8,96
Peshawar,2020,9,119
Peshawar,2020,10,156
Peshawar,2020,11,171
Peshawar,2020,12,176
Peshawar,2021,1,189
Peshawar,2021,2,179
Peshawar,2021,3,157
Peshawar,2021,4,100
Peshawar,2021,5,82
Peshawar,2021,6,80
Peshawar,2021,7,92
Peshawar,2021,8,109
Peshawar,2021,9,133
Peshawar,2021,10,161
Peshawar,2021,11,178
Peshawar,2021,12,185
Peshawar,2022,1,186
Peshawar,2022,2,178
Peshawar,2022,3,156
Peshawar,2022,4,96
Peshawar,2022,5,79
Peshawar,2022,6,76
Peshawar,2022,7,87
Peshawar,2022,8,102
Peshawar,2022,9,129
Peshawar,2022,10,161
Peshawar,2022,11,176
Peshawar,2022,12,185
Peshawar,2023,1,190
Peshawar,2023,2,182
Peshawar,2023,3,157
Peshawar,2023,4,102
Peshawar,2023,5,82
Peshawar,2023,6,80
Peshawar,2023,7,93
Peshawar,2023,8,109
Peshawar,2023,9,140
Peshawar,2023,10,162
Peshawar,2023,11,180
Peshawar,2023,12,187
Peshawar,2024,1,190
Peshawar,2024,2,185
Peshawar,2024,3,159
Peshawar,2024,4,103
Peshawar,2024,5,85
Peshawar,2024,6,82
Peshawar,2024,7,93
Peshawar,2024,8,110
Peshawar,2024,9,140
Peshawar,2024,10,163
Peshawar,2024,11,181
Peshawar,2024,12,188
Peshawar,2025,1,194
Peshawar,2025,2,185
Peshawar,2025,3,160
Peshawar,2025,4,108
Peshawar,2025,5,87
Peshawar,2025,6,85
Peshawar,2025,7,96
Peshawar,2025,8,117
Peshawar,2025,9,146
Peshawar,2025,10,164
Peshawar,2025,11,184
Peshawar,2025,12,190
Quetta,2015,1,171
Quetta,2015,2,166
Quetta,2015,3,146
Quetta,2015,4,95
Quetta,2015,5,82
Quetta,2015,6,77
Quetta,2015,7,88
Quetta,2015,8,98
Quetta,2015,9,123
Quetta,2015,10,153
Quetta,2015,11,165
Quetta,2015,12,170
Quetta,2016,1,168
Quetta,2016,2,163
Quetta,2016,3,137
Quetta,2016,4,92
Quetta,2016,5,78
Quetta,2016,6,75
Quetta,2016,7,85
Quetta,2016,8,96
Quetta,2016,9,115
Quetta,2016,10,152
Quetta,2016,11,164
Quetta,2016,12,167
Quetta,2017,1,170
Quetta,2017,2,165
Quetta,2017,3,142
Quetta,2017,4,96
Quetta,2017,5,80
Quetta,2017,6,78
Quetta,2017,7,87
